t,alt,V,alpha,sink,CL,CD,bank,pitch
0.475,148.82117696729733,28.159522468154037,0.05295851351624485,3.4721942312313976,0.3014091591638838,0.025782389764535608,2.0017324992723613,-4.091498598136682
0.48333333333333334,148.7917126419808,28.16534760458277,0.0531804713340845,3.5040291195211766,0.30217735850033706,0.02579090092236384,2.001703491581272,-4.142422481234597
0.49166666666666664,148.76198542184778,28.171259683376537,0.053397178592030387,3.5357190379844337,0.302928681992969,0.02579950690599118,2.001671353800675,-4.193293119161842
0.5,148.73199647743112,28.177258174491154,0.05360905004030216,3.5672664159636525,0.30366528324759545,0.02580822903900318,2.0016359693121517,-4.2440919858324095
0.5083333333333333,148.70174696473333,28.183342550736597,0.053816478780407455,3.598673329997903,0.3043891925883129,0.025817087168820196,2.0015972210430526,-4.294801069967514
0.5166666666666666,148.6712380278415,28.189512287030226,0.054019837126624094,3.6299415237342783,0.30510232212858,0.025826099713395875,2.001554991635286,-4.345402866864146
0.525,148.64047080138982,28.195766859700008,0.054219477438285084,3.6610724270197217,0.3058064706681133,0.025835283709517737,2.0015091636146645,-4.395880370166655
0.5333333333333333,148.60944641287594,28.202105745835095,0.05441573292375351,3.6920671742019096,0.30650332842203204,0.02584465486227101,2.0014596195603525,-4.446217063647552
0.5416666666666666,148.57816598483728,28.2085284226813,0.05460891841694,3.7229266216667596,0.3071944815868061,0.02585422759524292,2.001406242273922,-4.496396913003366
0.55,148.54663063689333,28.215034367079213,0.05479933112719549,3.7536513646393495,0.30788141674763253,0.02586401510110056,2.001348914947597,-4.546404357671278
0.5583333333333333,148.51484148765948,28.221623054942775,0.0549872513633888,3.784241753274258,0.3085655251318686,0.02587402939222381,2.0012875213312715,-4.59622430267188
0.5666666666666667,148.4827996565381,28.22829396077631,0.05517294323295807,3.8146979080605354,0.3092481067132889,0.025884281351121443,2.001221945897931,-4.645842110483271
0.575,148.4505062653919,28.23504655722798,0.05535665531670073,3.845019734565726,0.30993037417178426,0.025894780780395112,2.0011520740071,-4.695243592951363
0.5833333333333334,148.41796244010507,28.241880314677967,0.05553862132004655,3.875206937542565,0.310613456712251,0.025905536452035777,2.001077792066004,-4.744415003241121
0.5916666666666667,148.38516931203665,28.24879470085952,0.055719060701539515,3.905259034421353,0.3112984037476265,0.025916556155891838,2.0009989876881202,-4.7933430278330995
0.6,148.35212801937143,28.2557891805113,0.0558981792792322,3.935175368210181,0.31198618844998094,0.02592784674715917,2.000915549848847,-4.842014778569535
0.6083333333333333,148.31883970837254,28.262863215059458,0.056076169815676466,3.964955119824511,0.312677711173355,0.025939414192764684,2.000827369038009,-4.8904177847538906
0.6166666666666667,148.2853055345402,28.270016262327932,0.05625321258217872,3.9945973198670064,0.3133738027529452,0.02595126361655642,2.0007343374089706,-4.938539985307602
0.625,148.25152666368126,28.277247776275566,0.056429475902964855,4.02410085987774,0.31407522768417534,0.025963399343214736,2.0006363489241266,-4.986369720987512
0.6333333333333333,148.2175042728929,28.28455720675876,0.05660511667988492,4.053464503074313,0.3147826871850367,0.025975824940816388,2.000533299496568,-5.033895726667259
0.6416666666666666,148.18323955146536,28.291943999318256,0.05678028089827043,4.08268689460085,0.31549682214651686,0.025988543262024672,2.000425087127743,-5.081107123685683
0.65,148.1487337017066,28.29940759498902,0.056955104114535124,4.111766571304049,0.31621821597295213,0.026001556483843988,2.000311612040935,-5.1279934122650905
0.6583333333333333,148.11398793969303,28.306947430131903,0.05712971192610183,4.14070197105413,0.31694739731750116,0.026014866145946707,2.000192776810423,-5.174544464002013
0.6666666666666666,148.07900349594996,28.314562936286052,0.057304220424212945,4.16949144162771,0.317684842715135,0.02602847318754601,2.0000684864861795,-5.2207505144329165
0.675,148.04378161606456,28.322253540041036,0.057478736630171105,4.198133249169178,0.3184309791164512,0.026042377982814318,1.999938648713992,-5.2666021556771
0.6833333333333333,148.00832356123524,28.33001866292761,0.057653358915540895,4.226625586246645,0.31918618632611034,0.02605658037486394,1.9998031738509146,-5.3120903291588615
0.6916666666666667,147.97263060876006,28.33785772132623,0.05782817740682431,4.25496657951789,0.3199507993482759,0.026071079708292356,1.9996619750759412,-5.357206318410823
0.7,147.9367040524675,28.345770126392367,0.058003274375112095,4.28315429702133,0.32072511064252357,0.02608587486031933,1.999514968495844,-5.4019417419601234
0.7083333333333334,147.90054520309235,28.353755283997714,0.058178724611195776,4.31118675510648,0.32150937229329785,0.02610096427054222,1.9993620732461208,-5.446288546299049
0.7166666666666667,147.86415538859947,28.361812594686526,0.05835459578661085,4.339061925017858,0.32230379809505105,0.02611634596932842,1.9992032115869673,-5.4902389989415
0.725,147.82753595445814,28.36994145364615,0.05853094880107132,4.366777739145926,0.3231085655570968,0.02613201760489569,1.9990383089942867,-5.5337856815665205
0.7333333333333333,147.7906882638696,28.37814125069115,0.05870783811673647,4.394332096958013,0.32392381782905183,0.026147976469089663,1.998867294245663,-5.57692148325004
0.7416666666666667,147.75361369795016,28.386411370260145,0.05888531207974723,4.421722870622011,0.3247496655515809,0.026164219521926078,1.998690099501313,-5.619639593785739
0.75,147.71631365587209,28.394751191424692,0.05906341322944458,4.448947910334856,0.32558618863332256,0.026180743414913662,1.9985066603800055,-5.661933497095919
0.7583333333333333,147.6787895549651,28.403160087909598,0.05924217859568127,4.476005049367675,0.3264334379571603,0.026197544513208583,1.9983169160299281,-5.703796964733065
0.7666666666666666,147.6410428307799,28.411637428123882,0.05942163998462021,4.5028921088389495,0.3272914370185378,0.02621461891664554,1.9981208091945553,-5.745224049472702
0.775,147.6030749371163,28.42018257520193,0.05960182425340046,4.529606902226603,0.3281601834970466,0.02623196247967419,1.997918286273495,-5.786209078998013
0.7833333333333333,147.56488734601805,28.428794887054078,0.05978275357404665,4.556147239629728,0.32903965076507524,0.026249570830262095,1.997709297378368,-5.8267466496766
0.7916666666666666,147.5264815477357,28.437473716426155,0.05996444568697793,4.582510931790039,0.32992978933426736,0.026267439387789544,1.997493796383751,-5.866831620429649
0.8,147.48785905065998,28.446218410967397,0.060146914144468676,4.608695793883018,0.330830528242877,0.0262855633799896,1.997271740973215,-5.9064591066936805
0.8083333333333333,147.44902138122708,28.45502831330622,0.0603301685443993,4.63469964908821,0.3317417763855051,0.026303937858968618,1.9970430926805256,-5.945624474474965
0.8166666666666667,147.40997008379773,28.463902761133326,0.060514214754626705,4.660520331947897,0.3326634237875219,0.026322557716351898,1.9968078169260381,-5.984323334496585
0.825,147.37070672051144,28.47284108729165,0.06069905512829277,4.686155691522978,0.33359534282625497,0.026341417697596452,1.996565883048366,-6.0225515364380895
0.8333333333333334,147.33123287111778,28.48184261987274,0.06088468871037957,4.711603594354575,0.3345373893998549,0.026360512415499346,1.996317264331375,-6.060305163267536
0.8416666666666667,147.29155013278586,28.490906682319018,0.06107111143581485,4.736861927239701,0.3354894040474853,0.026379836362960728,1.9960619380265838,-6.097580525665731
0.85,147.25166011989376,28.500032593531614,0.0612583163194115,4.761928599828764,0.3364512130202399,0.02639938392501281,1.9957998853710326,-6.134374156542336
0.8583333333333333,147.21156446379885,28.509219667983242,0.061446293637931734,4.786801547052748,0.3374226293068549,0.026419149390176047,1.9955310916007103,-6.17068280564348
